stratum_type,stratum,n,n_pos,roc,fn_rate,fp_rate
family,SCN1A,868,813,0.904070222520407,0.23370233702337023,0.14545454545454545
family,ADGRV,565,11,0.8730718739744011,0.2727272727272727,0.18050541516245489
family,NOTCH,525,210,0.8866364323507181,0.42857142857142855,0.044444444444444446
family,TSC,508,198,0.8725236233300749,0.6666666666666666,0.035483870967741936
family,RNF,428,22,0.8510971786833856,0.7727272727272727,0.06896551724137931
family,TCF,398,62,0.9366119431643626,0.25806451612903225,0.0625
family,NSD,395,154,0.9692973002101632,0.22727272727272727,0.02074688796680498
family,GCK,347,337,0.8614243323442136,0.10089020771513353,0.3
family,NLRP,328,54,0.9410989456609895,0.7037037037037037,0.0036496350364963502
family,APOB,316,5,0.7160771704180064,1.0,0.01929260450160772
aa_class,polar->polar,260,260,,0.36538461538461536,
aa_class,polar->non-polar,363,363,,0.36363636363636365,
aa_class,polar->positive,427,427,,0.3700234192037471,
aa_class,polar->negative,39,39,,0.28205128205128205,
aa_class,polar->aromatic,379,379,,0.23746701846965698,
aa_class,polar->special,79,79,,0.26582278481012656,
aa_class,non-polar->polar,485,485,,0.30515463917525776,
aa_class,non-polar->non-polar,1134,1134,,0.3201058201058201,
aa_class,non-polar->positive,278,278,,0.1223021582733813,
aa_class,non-polar->negative,150,150,,0.15333333333333332,
aa_class,non-polar->aromatic,140,140,,0.4357142857142857,
aa_class,non-polar->special,77,77,,0.24675324675324675,
aa_class,positive->polar,440,440,,0.47045454545454546,
aa_class,positive->non-polar,272,272,,0.21323529411764705,
aa_class,positive->positive,210,210,,0.3380952380952381,
aa_class,positive->negative,62,62,,0.27419354838709675,
aa_class,positive->aromatic,161,161,,0.577639751552795,
aa_class,positive->special,110,110,,0.34545454545454546,
aa_class,negative->polar,107,107,,0.4205607476635514,
aa_class,negative->non-polar,94,94,,0.2978723404255319,
aa_class,negative->positive,177,177,,0.2655367231638418,
aa_class,negative->negative,79,79,,0.8354430379746836,
aa_class,negative->aromatic,66,66,,0.16666666666666666,
aa_class,negative->special,98,98,,0.14285714285714285,
aa_class,aromatic->polar,304,304,,0.12171052631578948,
aa_class,aromatic->non-polar,127,127,,0.3937007874015748,
aa_class,aromatic->positive,97,97,,0.14432989690721648,
aa_class,aromatic->negative,21,21,,0.09523809523809523,
aa_class,aromatic->aromatic,13,13,,0.6153846153846154,
aa_class,aromatic->special,17,17,,0.058823529411764705,
aa_class,special->polar,133,133,,0.21052631578947367,
aa_class,special->non-polar,184,184,,0.15217391304347827,
aa_class,special->positive,244,244,,0.11885245901639344,
aa_class,special->negative,237,237,,0.1308016877637131,
aa_class,special->aromatic,16,16,,0.0625,
aa_class,special->special,0,0,,,
phyloP_quintile,Q1,5621,86,,0.9534883720930233,0.0003613369467028004
phyloP_quintile,Q2,5623,247,,0.8623481781376519,0.002418154761904762
phyloP_quintile,Q3,5618,656,,0.6890243902439024,0.015719467956469165
phyloP_quintile,Q4,5618,1900,,0.37684210526315787,0.12748789671866595
phyloP_quintile,Q5,5618,4191,,0.07301360057265568,0.5893482831114225
