slice,model_a,model_b,metric,estimate_a,estimate_b,delta,ci_lo,ci_hi,pvalue,pvalue_holm,status
denovo-db family-holdout (n=paired),XGBoost,"ESM-2 LLR (raw, thesis direction)",ROC-AUC,0.5732919254658384,0.5517080745341616,0.021583850931676807,-0.13746427947270504,0.18063198133605865,0.7902548586297349,1.0,computed
denovo-db family-holdout (n=paired),XGBoost,"ESM-2 LLR (raw, thesis direction)",PR-AUC,0.8375518006171565,0.8213390480161256,0.016212752601030944,-0.056948921084895514,0.08548036421401657,0.7168000000000001,1.0,computed
denovo-db family-holdout (n=paired),XGBoost,"rank-fusion (uniform, raw-LLR)",ROC-AUC,0.5732919254658384,0.5857142857142859,-0.01242236024844745,-0.0991740194269368,0.07432929893004189,0.7789742135008648,1.0,computed
denovo-db family-holdout (n=paired),XGBoost,"rank-fusion (uniform, raw-LLR)",PR-AUC,0.8375518006171565,0.8508536294929687,-0.013301828875812216,-0.058766397189382986,0.02978157968256747,0.5466,1.0,computed
denovo-db family-holdout (n=paired),ESM-2 LLR (raw),"rank-fusion (uniform, raw-LLR)",ROC-AUC,0.5517080745341616,0.5857142857142859,-0.03400621118012426,-0.11971976766492676,0.05170734530467824,0.43680425444569404,1.0,computed
denovo-db family-holdout (n=paired),ESM-2 LLR (raw),"rank-fusion (uniform, raw-LLR)",PR-AUC,0.8213390480161256,0.8508536294929687,-0.02951458147684316,-0.07425782889885477,0.015408567421181336,0.2244,0.6732,computed
clinvar_test (own-coverage subsets differ),XGBoost,SIFT,ROC-AUC,,,,,,,,not-computed: per-variant XGBoost test predictions not persisted; run scripts/run_baselines_matched.py once xgboost_predictions.parquet is materialised to close D7
clinvar_test (own-coverage subsets differ),XGBoost,SIFT,PR-AUC,,,,,,,,not-computed: per-variant XGBoost test predictions not persisted; run scripts/run_baselines_matched.py once xgboost_predictions.parquet is materialised to close D7
clinvar_test (own-coverage subsets differ),XGBoost,PolyPhen-2,ROC-AUC,,,,,,,,not-computed: per-variant XGBoost test predictions not persisted; run scripts/run_baselines_matched.py once xgboost_predictions.parquet is materialised to close D7
clinvar_test (own-coverage subsets differ),XGBoost,PolyPhen-2,PR-AUC,,,,,,,,not-computed: per-variant XGBoost test predictions not persisted; run scripts/run_baselines_matched.py once xgboost_predictions.parquet is materialised to close D7
clinvar_test (own-coverage subsets differ),XGBoost,AlphaMissense,ROC-AUC,,,,,,,,not-computed: per-variant XGBoost test predictions not persisted; run scripts/run_baselines_matched.py once xgboost_predictions.parquet is materialised to close D7
clinvar_test (own-coverage subsets differ),XGBoost,AlphaMissense,PR-AUC,,,,,,,,not-computed: per-variant XGBoost test predictions not persisted; run scripts/run_baselines_matched.py once xgboost_predictions.parquet is materialised to close D7
