feature,mean_abs_shap,rank
num__is_imputed_esm2_llr,1.0470004,1
num__phyloP100way_vertebrate,0.59498614,2
num__AN,0.46744627,3
num__esm2_llr,0.41920236,4
num__lof_z,0.31012124,5
cat__alt_aa_P,0.27114207,6
num__phastCons30way_mammalian,0.24379192,7
num__oe_mis_upper,0.21174702,8
num__pfam_domain,0.19321689,9
num__phastCons100way_vertebrate,0.19184175,10
num__phyloP30way_mammalian,0.15459922,11
num__polarity_ref,0.14843968,12
num__AC,0.14287916,13
num__GERP++_RS,0.14004575,14
num__mis_z,0.118169755,15
num__BLOSUM62_score,0.08652062,16
num__AF_popmax,0.08192326,17
cat__ref_aa_M,0.08139361,18
num__Grantham_distance,0.0792026,19
num__molecular_weight_ref,0.07048136,20
num__pLI,0.06627192,21
num__oe_lof_upper,0.061134864,22
cat__alt_aa_M,0.055070587,23
num__GERP++_NR,0.044934526,24
num__polarity_change,0.043860417,25
num__log_AF,0.03953729,26
num__hydrophobicity_ref,0.035734486,27
num__volume_change,0.035468914,28
num__hydrophobicity_alt,0.03234858,29
cat__ref_aa_Q,0.031845484,30
cat__ref_aa_P,0.030896626,31
cat__ref_aa_H,0.023399366,32
num__molecular_weight_alt,0.019352298,33
cat__alt_aa_K,0.018841725,34
num__volume_ref,0.017857257,35
num__pI_alt,0.01730203,36
num__charge_alt,0.016984917,37
num__volume_alt,0.016142843,38
num__charge_change,0.013201888,39
cat__ref_aa_F,0.013008602,40
num__polarity_alt,0.012984258,41
cat__ref_aa_E,0.011154387,42
cat__ref_aa_C,0.0109471595,43
cat__alt_aa_E,0.01028413,44
cat__ref_aa_T,0.0096233385,45
cat__ref_aa_L,0.008630132,46
cat__ref_aa_S,0.008557941,47
cat__alt_aa_H,0.008304446,48
cat__alt_aa_T,0.0077370694,49
cat__alt_aa_Q,0.0071920194,50
cat__alt_aa_W,0.005519285,51
cat__ref_aa_A,0.0051277103,52
cat__alt_aa_A,0.004867967,53
num__charge_ref,0.0043662675,54
cat__alt_aa_C,0.004292396,55
cat__ref_aa_N,0.0041254675,56
cat__alt_aa_L,0.0040261713,57
cat__alt_aa_F,0.0038849262,58
cat__ref_aa_I,0.0027203823,59
cat__ref_aa_G,0.0024154952,60
cat__alt_aa_S,0.002163058,61
cat__alt_aa_N,0.0018387326,62
cat__ref_aa_D,0.0017167078,63
cat__alt_aa_D,0.0017026316,64
cat__ref_aa_K,0.0016924365,65
cat__alt_aa_I,0.0015628559,66
num__is_imputed_gnomad_constraint,0.0013033744,67
cat__ref_aa_R,0.0010215427,68
cat__ref_aa_V,0.00074440247,69
cat__alt_aa_V,0.0006563849,70
cat__alt_aa_Y,0.00063643896,71
cat__ref_aa_Y,0.00041297986,72
cat__alt_aa_R,0.00020614496,73
cat__alt_aa_G,0.0,74
num__is_imputed_BLOSUM62_score,0.0,75
num__is_imputed_Grantham_distance,0.0,76
cat__ref_aa_W,0.0,77
num__is_imputed_GERP++_RS,0.0,78
num__is_imputed_phastCons100way_vertebrate,0.0,79
num__is_imputed_phyloP100way_vertebrate,0.0,80
