eval_set,bin,edge_low,edge_high,count,mean_predicted_prob,fraction_positive,gap
val_raw,0,0.0,0.003675357873241107,1872,0.0021100593134179752,0.002670940170940171,0.0005608808575221958
val_raw,1,0.003675357873241107,0.006637514165292183,1872,0.005115119410772274,0.003205128205128205,0.0019099912056440693
val_raw,2,0.006637514165292183,0.010703239031136036,1872,0.008525090813228829,0.007478632478632479,0.0010464583345963499
val_raw,3,0.010703239031136036,0.01723179891705513,1872,0.013617789590707382,0.009615384615384616,0.004002404975322766
val_raw,4,0.01723179891705513,0.028365740552544573,1872,0.022252466128621664,0.006944444444444444,0.01530802168417722
val_raw,5,0.028365740552544573,0.04799218997359276,1872,0.03708439405199586,0.031517094017094016,0.0055673000349018426
val_raw,6,0.04799218997359276,0.08271031727393469,1872,0.06387655429032624,0.03365384615384615,0.030222708136480085
val_raw,7,0.08271031727393469,0.1500498741865157,1871,0.11383354025113908,0.05986103687867451,0.05397250337246457
val_raw,8,0.1500498741865157,0.2642017543315887,1872,0.20116039391002086,0.10683760683760683,0.09432278707241402
val_raw,9,0.2642017543315887,0.4460086822509764,1872,0.3512808920290226,0.18108974358974358,0.170191148439279
val_raw,10,0.4460086822509764,0.6470112840334574,1872,0.5482606452881781,0.3157051282051282,0.2325555170830499
val_raw,11,0.6470112840334574,0.7966395139694215,1872,0.7268585476737756,0.46794871794871795,0.2589098297250576
val_raw,12,0.7966395139694215,0.888240381081899,1872,0.8459476000414445,0.6538461538461539,0.19210144619529068
val_raw,13,0.888240381081899,0.9495013554890951,1872,0.9206096680882649,0.7954059829059829,0.1252036851822821
val_raw,14,0.9495013554890951,1.0,1872,0.9700307400308104,0.8963675213675214,0.07366321866328895
val_calibrated,0,0.0,0.0022758306004107,551,1e-12,0.0,1e-12
val_calibrated,1,0.0022758306004107,0.0053547522984445095,2644,0.0026475037210346194,0.00264750378214826,6.111364062380553e-11
val_calibrated,2,0.0053547522984445095,0.007547983434051275,747,0.005355186955542011,0.00535475234270415,4.346128378608649e-07
val_calibrated,4,0.007547983434051275,0.015325670130550861,5293,0.007935008344756207,0.007935008501794823,1.5703861648563855e-10
val_calibrated,5,0.015325670130550861,0.03119583986699581,1441,0.0277585016310184,0.027758501040943788,5.900746107012633e-10
val_calibrated,6,0.03119583986699581,0.04127966985106468,1731,0.03119583986699581,0.03119584055459272,6.875969099651158e-10
val_calibrated,7,0.04127966985106468,0.08529945462942123,2239,0.05002233169576908,0.05002233139794551,2.9782356442131785e-10
val_calibrated,8,0.08529945462942123,0.11958763003349304,1494,0.09638554292669896,0.0963855421686747,7.580242544769078e-10
val_calibrated,9,0.11958763003349304,0.2497541755437851,2318,0.15358067458821742,0.1535806729939603,1.5942571152116614e-09
val_calibrated,10,0.2497541755437851,0.39071038365364075,1823,0.29292375142765253,0.29292375205704885,6.293963128456426e-10
val_calibrated,11,0.39071038365364075,0.5632911324501038,2113,0.4543303383141403,0.45433033601514433,2.29899599357708e-09
val_calibrated,12,0.5632911324501038,0.7105262875556946,1909,0.6516500665543278,0.6516500785751702,1.2020842432569623e-08
val_calibrated,13,0.7105262875556946,0.8493150472640991,1449,0.7736369896708397,0.7736369910282954,1.3574557033990686e-09
val_calibrated,14,0.8493150472640991,1.0,2327,0.8891276183638513,0.8891276321443919,1.3780540597529978e-08
test_raw,0,0.0,0.0035813652910292146,1874,0.0021201882053636513,0.0016008537886872999,0.0005193344166763514
test_raw,1,0.0035813652910292146,0.006398271055271228,1873,0.0049428475453347775,0.004271222637479978,0.0006716249078547992
test_raw,2,0.006398271055271228,0.010270755365490913,1873,0.008206332256809648,0.013347570742124934,0.005141238485315286
test_raw,3,0.010270755365490913,0.01662632065514723,1873,0.013199809691045797,0.008542445274959957,0.00465736441608584
test_raw,4,0.01662632065514723,0.026774331927299496,1873,0.021314672953700292,0.012279765082754938,0.009034907870945354
test_raw,5,0.026774331927299496,0.0455874726176262,1873,0.035261681097526316,0.024559530165509876,0.01070215093201644
test_raw,6,0.0455874726176262,0.08010978798071552,1873,0.06139409133355947,0.02829684997330486,0.03309724136025461
test_raw,7,0.08010978798071552,0.14245239893595374,1874,0.10836214656874998,0.04535752401280683,0.06300462255594316
test_raw,8,0.14245239893595374,0.2594891548156739,1873,0.19507847112159454,0.09343299519487454,0.10164547592672
test_raw,9,0.2594891548156739,0.43979457020759566,1873,0.34409050831995863,0.19060331019754403,0.1534871981224146
test_raw,10,0.43979457020759566,0.6493263045946753,1873,0.546186745469098,0.35184196476241325,0.1943447807066847
test_raw,11,0.6493263045946753,0.8039858341217042,1873,0.733489612367022,0.5221569674319274,0.21133264493509463
test_raw,12,0.8039858341217042,0.8982213735580444,1872,0.8558486792075838,0.7061965811965812,0.14965209801100254
test_raw,13,0.8982213735580444,0.9553667902946473,1874,0.9282288966082204,0.8441835645677694,0.08404533204045095
test_raw,14,0.9553667902946473,1.0,1874,0.9728549693729986,0.9327641408751334,0.04009082849786527
test_calibrated,0,0.0,0.0022758306004107,542,1e-12,0.0,1e-12
test_calibrated,1,0.0022758306004107,0.0053547522984445095,2787,0.0026306096071081323,0.0028704700394689632,0.0002398604323608309
test_calibrated,2,0.0053547522984445095,0.007547983434051275,737,0.0053547522984445095,0.008141112618724558,0.002786360320280049
test_calibrated,4,0.007547983434051275,0.011904762126505375,5221,0.007820437029945945,0.011492051331162613,0.003671614301216668
test_calibrated,5,0.011904762126505375,0.03119583986699581,1571,0.026188993342173356,0.024824952259707194,0.0013640410824661622
test_calibrated,6,0.03119583986699581,0.04127966985106468,1663,0.031197309402174356,0.027660853878532773,0.0035364555236415823
test_calibrated,7,0.04127966985106468,0.08529945462942123,2335,0.050176131141389975,0.04068522483940043,0.009490906301989545
test_calibrated,8,0.08529945462942123,0.11958763003349304,1355,0.09618712333185646,0.08191881918819188,0.014268304143664576
test_calibrated,9,0.11958763003349304,0.2497541755437851,2360,0.15483901985621049,0.16398305084745762,0.009144030991247137
test_calibrated,10,0.2497541755437851,0.39071038365364075,1700,0.2932141022121205,0.3264705882352941,0.033256486023173604
test_calibrated,11,0.39071038365364075,0.6000000238418579,2190,0.4636432646344241,0.506392694063927,0.04274942942950283
test_calibrated,12,0.6000000238418579,0.7365145087242126,1618,0.6625299774230042,0.695920889987639,0.03339091256463478
test_calibrated,13,0.7365145087242126,0.8493150472640991,1417,0.7716819100507818,0.8101623147494708,0.038480404698688964
test_calibrated,14,0.8493150472640991,1.0,2602,0.8906558578652012,0.9185242121445042,0.02786835427930301
